ID,assignment,x1,x2,x3,x4
0,1,5.1,3.5,1.4,0.2
1,2,4.9,3.0,1.4,0.2
2,3,4.7,3.2,1.3,0.2
3,3,4.6,3.1,1.5,0.2
4,3,5.0,3.6,1.4,0.2
5,3,5.4,3.9,1.7,0.4
6,2,4.6,3.4,1.4,0.3
7,1,5.0,3.4,1.5,0.2
8,1,4.4,2.9,1.4,0.2
9,1,4.9,3.1,1.5,0.1
10,1,5.4,3.7,1.5,0.2
11,1,4.8,3.4,1.6,0.2
12,2,4.8,3.0,1.4,0.1
13,1,4.3,3.0,1.1,0.1
14,1,5.8,4.0,1.2,0.2
15,2,5.7,4.4,1.5,0.4
16,2,5.4,3.9,1.3,0.4
17,3,5.1,3.5,1.4,0.3
18,3,5.7,3.8,1.7,0.3
19,3,5.1,3.8,1.5,0.3
20,3,5.4,3.4,1.7,0.2
21,1,5.1,3.7,1.5,0.4
22,1,4.6,3.6,1.0,0.2
23,1,5.1,3.3,1.7,0.5
24,1,4.8,3.4,1.9,0.2
25,1,5.0,3.0,1.6,0.2
26,3,5.0,3.4,1.6,0.4
27,1,5.2,3.5,1.5,0.2
28,2,5.2,3.4,1.4,0.2
29,2,4.7,3.2,1.6,0.2
30,2,4.8,3.1,1.6,0.2
31,2,5.4,3.4,1.5,0.4
32,1,5.2,4.1,1.5,0.1
33,3,5.5,4.2,1.4,0.2
34,3,4.9,3.1,1.5,0.1
35,3,5.0,3.2,1.2,0.2
36,1,5.5,3.5,1.3,0.2
37,2,4.9,3.1,1.5,0.1
38,2,4.4,3.0,1.3,0.2
39,2,5.1,3.4,1.5,0.2
40,3,5.0,3.5,1.3,0.3
41,3,4.5,2.3,1.3,0.3
42,1,4.4,3.2,1.3,0.2
43,3,5.0,3.5,1.6,0.6
44,3,5.1,3.8,1.9,0.4
45,1,4.8,3.0,1.4,0.3
46,2,5.1,3.8,1.6,0.2
47,1,4.6,3.2,1.4,0.2
48,3,5.3,3.7,1.5,0.2
49,3,5.0,3.3,1.4,0.2
50,2,7.0,3.2,4.7,1.4
